Date,PMS Price
1/31/2017,148.7
2/28/2017,149.8
3/31/2017,149.39
4/30/2017,149.87
5/31/2017,150.69
6/30/2017,150.28
7/31/2017,148.21
8/31/2017,144.43
9/30/2017,144.52
10/31/2017,145.99
11/30/2017,145.6
12/31/2017,171.79
1/31/2018,190.87
2/28/2018,172.46
3/31/2018,163.39
4/30/2018,151.4
5/31/2018,150.17
6/30/2018,148.09
7/31/2018,146.82
8/31/2018,146.9
9/30/2018,147.33
10/31/2018,147.23
11/30/2018,147.46
12/31/2018,145.78
1/31/2019,145.7
2/28/2019,145.29
3/31/2019,145.32
4/30/2019,145.92
5/31/2019,145.03
6/30/2019,145.36
7/31/2019,145.03
8/31/2019,145.48
9/30/2019,145.53
10/31/2019,145.48
11/30/2019,145.94
12/31/2019,145.35
1/31/2020,145.37
2/29/2020,145.41
3/31/2020,145.4
4/30/2020,130.84
5/31/2020,129.67
6/30/2020,128.88
7/31/2020,143.63
8/31/2020,148.78
9/30/2020,161.06
10/31/2020,161.17
11/30/2020,167.27
12/31/2020,165.7
1/31/2021,164.09
2/28/2021,166.24
3/31/2021,172.68
4/30/2021,166.38
5/31/2021,168.06
6/30/2021,175.89
7/31/2021,168.91
8/31/2021,164.91
9/30/2021,164.85
10/31/2021,164.6
11/30/2021,165.5
12/31/2021,165.77
1/31/2022,166.4
2/28/2022,170.42
3/31/2022,185.3
4/30/2022,172.61
5/31/2022,173.08
6/30/2022,175.89
7/31/2022,190.01
8/31/2022,189.46
9/30/2022,191.65
10/31/2022,195.29
11/30/2022,202.48
12/31/2022,206.19
1/31/2023,257.12
2/28/2023,263.76
3/31/2023,264.29
4/30/2023,254.06
5/31/2023,238.11
6/30/2023,545.83
7/31/2023,600.35
8/31/2023,626.7
9/30/2023,626.81
10/31/2023,630.63
11/30/2023,648.93
12/31/2023,671.86
1/31/2024,668.5
2/29/2024,679.36
3/31/2024,696.79
4/30/2024,701.24
5/31/2024,769.62
6/30/2024,750.17
7/31/2024,770.54
8/31/2024,830.46
9/30/2024,"1,030.46"
10/31/2024,"1,184.83"
11/30/2024,"1,214.17"
12/31/2024,"1,189.12"
1/31/2025,"1,258.34"
2/28/2025,"1,245.80"
3/31/2025,"1,261.65"
4/30/2025,"1,239.33"
5/31/2025,"1,027.76"
6/30/2025,"1,037.66"
7/31/2025,"1,024.99"
8/31/2025,877.5
9/30/2025,970.59
10/31/2025,"1,052.31"
11/30/2025,"1,061.35"
12/31/2025,"1,048.63"
1/31/2026,795
